organization,domain,geography,vertical,role,public_contact_path,leverage,status,last_action
Roofing Marketing USA,roofingmarketingusa.com,United States,Roofing,Agency,info@roofingmarketingusa.com,High,mapped,2026-09-23 verified public contact
LMN Marketing Agency,lmnmarketingagency.com,United States,Roofing,Agency,Website consultation,High,mapped,2026-09-23 qualified
Surch Digital,surchdigital.com,United States,Med spa,Agency,Contact form and phone,High,mapped,2026-09-23 qualified
MileMark Media,milemarkmedia.com,United States,Legal,Agency,Website consultation and phone,High,mapped,2026-09-23 qualified
Netrocket,netrocketagency.com,United States,HVAC,Agency,Website and phone,High,mapped,2026-09-23 qualified
Nile Roof,nileroof.com,United States,Roofing,Agency,info@nileroof.com,Medium,mapped,2026-09-23 verified public contact
HVAC Agency,hvac.agency,Canada and United States,HVAC,Agency,hvac@sedighi.ca,High,mapped,2026-09-23 qualified
Med Spa Digital,medspadigital.com,United States,Med spa,Agency,Website contact,High,mapped,2026-09-23 qualified
MedSpaMarketing.com,medspamarketing.com,United States,Med spa,Agency,young@medspamarketing.com,High,mapped,2026-09-23 verified public contact
SpaBloomX,spabloomx.com,United States,Med spa,Agency,hello@spabloomx.com,High,contacted,2026-09-23 existing outreach
HVAC Marketing Crew,hvacmarketingcrew.com,United States,HVAC,Agency,info@fannit.com,High,mapped,2026-09-23 qualified
Law Firm Marketing,lawfirmemarketing.com,United States,Legal,Agency,contact@lawfirmemarketing.com,High,mapped,2026-09-23 verified public contact
Arise GTM,arisegtm.com,United Kingdom,B2B SaaS and Fintech,HubSpot RevOps partner,enquiries@arisegtm.com,High,mapped,2026-09-23 verified public contact
Med Spa Marketing Guys,medspamarketingguys.com,United Kingdom and global,Med spa,Agency,Website strategy call,High,mapped,2026-09-23 qualified
Dental SEO Marketing,dentalseomarketing.co.uk,United Kingdom,Dental,Agency,hello@dentalseomarketing.co.uk,High,mapped,2026-09-23 verified public contact
Rooflo,rooflo.co,United States,Roofing,Agency,Website booking,High,mapped,2026-09-23 qualified
MedSpa Agency,medspaagency.com,United States and United Kingdom,Med spa,Agency,info@medspaagency.com,High,contacted,2026-09-23 existing outreach
HVAC Marketing Agency,hvacmarketing.org,United States,HVAC,Agency,Website consultation and phone,Medium,mapped,2026-09-23 qualified
USA HVAC Marketing,usahvacmarketing.com,United States,HVAC,Agency,Website contact,Medium,mapped,2026-09-23 qualified
Social Link,sociallink.com,United States,Roofing,Agency,Website and phone,Medium,mapped,2026-09-23 qualified
