organization,domain,geography,vertical,role,public_contact,leverage,status,last_action
Aqua Leads,aqualeads.ai,US/Canada,Outdoor living contractors,Agency,support@aqualeads.net,high,mapped,2026-09-23 researched
Legmark,legmark.com,UK,Legal,Agency,hello@legmark.com,high,mapped,2026-09-23 researched
Su Vista,su-vista.com,US,Roofing,Agency,website/phone,medium,mapped,2026-09-23 researched
Squala,squala.agency,Worldwide,Med spa,Agency,contact@squala.agency,medium,mapped,2026-09-23 researched
Ditans Group,ditansgroup.com,US,Roofing,Agency,info@ditansgroup.com,medium,mapped,2026-09-23 researched
LMN Marketing Agency,lmnmarketingagency.com,US,Roofing,Agency,contact@lmnmarketingagency.com,high,mapped,2026-09-23 researched
ACLURE,aclure.com,US,Med spa/aesthetics,Agency,info@aclure.com,medium,mapped,2026-09-23 researched
Trades Marketing Co,orangeagency.media,US,HVAC/plumbing/electrical/roofing,Agency,john@orangeagency.media,high,mapped,2026-09-23 researched
DentalScapes,dentalscapes.com,US/Canada,Dental,Agency,hello@dentalscapes.com,high,mapped,2026-09-23 researched
360 Dental Marketing,360dentalmarketing.com.au,Australia,Dental,Agency,info@360dentalmarketing.com.au,high,mapped,2026-09-23 researched
Paul Lewallen Media,dentists.paullewallen.com,US,Dental,Agency,me@paullewallen.com,medium,mapped,2026-09-23 researched
Digital Med Spa,digitalmedspa.net,US,Med spa,Agency/B2B partner,new@digitalmedspa.net,high,mapped,2026-09-23 researched
Med Spa Marketing,medspamarketing.com,US,Med spa,Agency,young@medspamarketing.com,medium,mapped,2026-09-23 researched
Aesthetix Media,aesthetixmedia.com,US,Med spa,Agency,hello@aesthetixmedia.com,high,mapped,2026-09-23 researched
Berbay Marketing & PR,berbay.com,US,Legal,Agency,website/phone,high,mapped,2026-09-23 researched
Roofing Marketing USA,roofingmarketingusa.com,US,Roofing,Agency,info@roofingmarketingusa.com,medium,mapped,2026-09-23 researched
The Aesthetic Client,theaestheticclient.com,US,Med spa/aesthetics,Agency,info@theaestheticclient.com,high,mapped,2026-09-23 researched
Turn Key Dental Marketing,turnkeydentalmarketing.com,US,Dental,Agency,info@turnkeydentalmarketing.com,medium,mapped,2026-09-23 researched
Elevated Roof Marketing,elevatedroofmarketing.com,US,Roofing,Agency,info@elevatedroofmarketing.com,medium,mapped,2026-09-23 researched
Med Spa Local,medspalocal.com,US,Med spa,Agency,hello@medspalocal.com,medium,mapped,2026-09-23 researched
Nomos Marketing,nomosmarketing.com,US,Legal,Agency,hello@nomosmarketing.com,very-high,contacted,2026-09-23 partner outreach sent
Iwebs Design,iwebsdesign.com,International,Trades/roofing/HVAC,Agency,haseebiqbal5133@gmail.com,high,mapped,2026-09-23 researched
Galaxy Roofer Marketing,galaxyroofermarketing.com,UK/US,Roofing,Agency,admin@galaxyroofermarketing.com,medium,mapped,2026-09-23 researched
Growbi,growbi.co,US,Med spa/dental/local services,Agency,office@growbi.co,high,mapped,2026-09-23 researched
